Somma di HR;Etichette di colonna;;;;;;;;;
Etichette di riga;AUTOE;BASE;KPCA_cosine;KPCA_linear;KPCA_poly;KPCA_rbf;KPCA_sigmoid;NN;UMAP;Totale complessivo
2;0,2108;0,6825;0,3673;0,4577;0,4592;0,4559;0,4566;0,6897;0,1117;3,8914
4;0,5713;0,7724;0,3918;0,5596;0,5632;0,5569;0,5571;0,7684;0,126;4,8667
8;0,5992;0,8209;0,5004;0,6725;0,6767;0,6699;0,6695;0,8443;0,1169;5,5703
16;0,7654;0,8545;0,5775;0,7403;0,7442;0,7388;0,7383;0,8812;0,0626;6,1028
32;0,7661;0,8691;0,604;0,7598;0,7651;0,7588;0,758;0,8923;0,0771;6,2503
64;0,7903;0,8781;0,605;0,7664;0,7702;0,762;0,763;0,8949;0,065;6,2949
128;0,7924;0,8862;0,6026;0,7648;0,7678;0,7575;0,761;0,8969;0,0768;6,306
256;0,8088;0,8951;0,5982;0,7588;0,7644;0,753;0,7552;0,8964;0,0727;6,3026
512;;0,8958;;;;;;;;0,8958
Totale complessivo;5,3043;7,5546;4,2468;5,4799;5,5108;5,4528;5,4587;6,7641;0,7088;46,4808
